14000000-34000000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space]
34000000-54000000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
54000000-56000000 r--s 00000000 00:01 3073                               /memfd:jit-zygote-cache (deleted)
56000000-58000000 r-xs 02000000 00:01 3073                               /memfd:jit-zygote-cache (deleted)
58000000-5a000000 r--s 00000000 00:01 2419                               /memfd:jit-cache (deleted)
5a000000-5c000000 r-xs 02000000 00:01 2419                               /memfd:jit-cache (deleted)
5c000000-5eab2000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/user/0/com.ss.android.ugc.aweme/cache/oat_primary/arm64/base.art]
70fcb000-7129f000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot.art]
7129f000-712e6000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-libart.art]
712e6000-71310000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-okhttp.art]
71310000-71355000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-bouncycastle.art]
71355000-71356000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-apache-xml.art]
71356000-720e9000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework.art]
720e9000-720ea000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
720ea000-720eb000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-location.art]
720eb000-720ed000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-connectivity-b.art]
720ed000-7211c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ext.art]
7211c000-72272000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-common.art]
72272000-72318000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-voip-common.art]
72318000-72361000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ims-common.art]
72361000-72363000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-platformcrashrecovery.art]
72363000-72364000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-ondeviceintelligence-platform.art]
72364000-724ec000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-icu4j.art]
724ec000-72584000 r--p 00000000 fe:0a 1385                               /system/framework/arm64/boot.oat
72584000-727bf000 r-xp 00098000 fe:0a 1385                               /system/framework/arm64/boot.oat
727bf000-727c0000 rw-p 00000000 00:00 0                                  [anon:.bss]
727c0000-727dc000 rw-p 00000000 fe:0a 1423                               /system/framework/boot.vdex
727dc000-727dd000 r--p 002d3000 fe:0a 1385                               /system/framework/arm64/boot.oat
727dd000-727de000 rw-p 002d4000 fe:0a 1385                               /system/framework/arm64/boot.oat
727de000-727ed000 r--p 00000000 fe:0a 1307                               /system/framework/arm64/boot-core-libart.oat
727ed000-72829000 r-xp 0000f000 fe:0a 1307                               /system/framework/arm64/boot-core-libart.oat
72829000-7282a000 rw-p 00000000 00:00 0                                  [anon:.bss]
7282a000-7282d000 rw-p 00000000 fe:0a 1397                               /system/framework/boot-core-libart.vdex
7282d000-7282e000 r--p 0004b000 fe:0a 1307                               /system/framework/arm64/boot-core-libart.oat
7282e000-7282f000 rw-p 0004c000 fe:0a 1307                               /system/framework/arm64/boot-core-libart.oat
7282f000-7283d000 r--p 00000000 fe:0a 1367                               /system/framework/arm64/boot-okhttp.oat
7283d000-7286c000 r-xp 0000e000 fe:0a 1367                               /system/framework/arm64/boot-okhttp.oat
7286c000-7286d000 rw-p 00000000 00:00 0                                  [anon:.bss]
7286d000-7286f000 rw-p 00000000 fe:0a 1417                               /system/framework/boot-okhttp.vdex
7286f000-72870000 r--p 0003d000 fe:0a 1367                               /system/framework/arm64/boot-okhttp.oat
72870000-72871000 rw-p 0003e000 fe:0a 1367                               /system/framework/arm64/boot-okhttp.oat
72871000-72878000 r--p 00000000 fe:0a 1295                               /system/framework/arm64/boot-bouncycastle.oat
72878000-72887000 r-xp 00007000 fe:0a 1295                               /system/framework/arm64/boot-bouncycastle.oat
72887000-72888000 rw-p 00000000 00:00 0                                  [anon:.bss]
72888000-72890000 rw-p 00000000 fe:0a 1393                               /system/framework/boot-bouncycastle.vdex
72890000-72891000 r--p 00016000 fe:0a 1295                               /system/framework/arm64/boot-bouncycastle.oat
72891000-72892000 rw-p 00017000 fe:0a 1295                               /system/framework/arm64/boot-bouncycastle.oat
72892000-72895000 r--p 00000000 fe:0a 1289                               /system/framework/arm64/boot-apache-xml.oat
72895000-7289a000 rw-p 00000000 fe:0a 1391                               /system/framework/boot-apache-xml.vdex
7289a000-7289b000 r--p 00003000 fe:0a 1289                               /system/framework/arm64/boot-apache-xml.oat
7289b000-7289c000 rw-p 00004000 fe:0a 1289                               /system/framework/arm64/boot-apache-xml.oat
7289c000-72a77000 r--p 00000000 fe:0a 1355                               /system/framework/arm64/boot-framework.oat
72a77000-730a2000 r-xp 001db000 fe:0a 1355                               /system/framework/arm64/boot-framework.oat
730a2000-730a3000 rw-p 00000000 00:00 0                                  [anon:.bss]
730a3000-7314d000 rw-p 00000000 fe:0a 1413                               /system/framework/boot-framework.vdex
7314d000-7314e000 r--p 00806000 fe:0a 1355                               /system/framework/arm64/boot-framework.oat
7314e000-7314f000 rw-p 00807000 fe:0a 1355                               /system/framework/arm64/boot-framework.oat
7314f000-73151000 r--p 00000000 fe:0a 1331                               /system/framework/arm64/boot-framework-graphics.oat
73151000-73152000 rw-p 00000000 fe:0a 1405                               /system/framework/boot-framework-graphics.vdex
73152000-73153000 r--p 00002000 fe:0a 1331                               /system/framework/arm64/boot-framework-graphics.oat
73153000-73154000 rw-p 00003000 fe:0a 1331                               /system/framework/arm64/boot-framework-graphics.oat
73154000-73156000 r--p 00000000 fe:0a 1337                               /system/framework/arm64/boot-framework-location.oat
73156000-73158000 rw-p 00000000 fe:0a 1407                               /system/framework/boot-framework-location.vdex
73158000-73159000 r--p 00002000 fe:0a 1337                               /system/framework/arm64/boot-framework-location.oat
73159000-7315a000 rw-p 00003000 fe:0a 1337                               /system/framework/arm64/boot-framework-location.oat
7315a000-7315c000 r--p 00000000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
7315c000-7315d000 r-xp 00002000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
7315d000-7315e000 rw-p 00000000 00:00 0                                  [anon:.bss]
7315e000-7315f000 rw-p 00000000 fe:0a 1403                               /system/framework/boot-framework-connectivity-b.vdex
7315f000-73160000 r--p 00003000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
73160000-73161000 rw-p 00004000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
73161000-73166000 r--p 00000000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
73166000-7317d000 r-xp 00005000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
7317d000-7317e000 rw-p 00000000 fe:0a 1399                               /system/framework/boot-ext.vdex
7317e000-7317f000 r--p 0001c000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
7317f000-73180000 rw-p 0001d000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
73180000-73188000 r--p 00000000 fe:0a 1373                               /system/framework/arm64/boot-telephony-common.oat
73188000-73197000 rw-p 00000000 fe:0a 1419                               /system/framework/boot-telephony-common.vdex
73197000-73198000 r--p 00008000 fe:0a 1373                               /system/framework/arm64/boot-telephony-common.oat
73198000-73199000 rw-p 00009000 fe:0a 1373                               /system/framework/arm64/boot-telephony-common.oat
73199000-7319c000 r--p 00000000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
7319c000-7319d000 r-xp 00003000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
7319d000-731a2000 rw-p 00000000 fe:0a 1421                               /system/framework/boot-voip-common.vdex
731a2000-731a3000 r--p 00004000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
731a3000-731a4000 rw-p 00005000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
731a4000-731a6000 r--p 00000000 fe:0a 1361                               /system/framework/arm64/boot-ims-common.oat
731a6000-731a8000 rw-p 00000000 fe:0a 1415                               /system/framework/boot-ims-common.vdex
731a8000-731a9000 r--p 00002000 fe:0a 1361                               /system/framework/arm64/boot-ims-common.oat
731a9000-731aa000 rw-p 00003000 fe:0a 1361                               /system/framework/arm64/boot-ims-common.oat
731aa000-731ac000 r--p 00000000 fe:0a 1349                               /system/framework/arm64/boot-framework-platformcrashrecovery.oat
731ac000-731ad000 rw-p 00000000 fe:0a 1411                               /system/framework/boot-framework-platformcrashrecovery.vdex
731ad000-731ae000 r--p 00002000 fe:0a 1349                               /system/framework/arm64/boot-framework-platformcrashrecovery.oat
731ae000-731af000 rw-p 00003000 fe:0a 1349                               /system/framework/arm64/boot-framework-platformcrashrecovery.oat
731af000-731b1000 r--p 00000000 fe:0a 1343                               /system/framework/arm64/boot-framework-ondeviceintelligence-platform.oat
731b1000-731b2000 rw-p 00000000 fe:0a 1409                               /system/framework/boot-framework-ondeviceintelligence-platform.vdex
731b2000-731b3000 r--p 00002000 fe:0a 1343                               /system/framework/arm64/boot-framework-ondeviceintelligence-platform.oat
731b3000-731b4000 rw-p 00003000 fe:0a 1343                               /system/framework/arm64/boot-framework-ondeviceintelligence-platform.oat
731b4000-731e2000 r--p 00000000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
731e2000-732a3000 r-xp 0002e000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
732a3000-732a4000 rw-p 00000000 00:00 0                                  [anon:.bss]
732a4000-732ad000 rw-p 00000000 fe:0a 1395                               /system/framework/boot-core-icu4j.vdex
732ad000-732ae000 r--p 000ef000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
732ae000-732af000 rw-p 000f0000 fe:0a 1301                               /system/framework/arm64/boot-core-icu4j.oat
732af000-73b7e000 rw-p 00000000 00:00 0 
73b7e000-73b95000 r--p 00000000 fe:38 4731                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.oat
73b95000-73bc5000 rw-p 00000000 fe:38 4804                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.vdex
73bc5000-73bc6000 r--p 00017000 fe:38 4731                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.oat
